               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019363,           0.0079228,                   0,             0.99631,             0.96774,             0.99014,             0.86748,            0.022268,           0.0052913,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018108,           0.0075338,                   0,             0.99542,             0.96774,             0.98885,             0.85494,            0.023149,           0.0051895,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01851,           0.0076193,                   0,             0.99654,             0.96774,             0.98522,             0.86451,            0.022678,           0.0054043,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017346,           0.0074406,                   0,             0.99582,             0.96774,             0.98663,             0.86641,            0.019589,           0.0054033,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017853,           0.0082415,                   0,             0.99329,             0.96774,             0.98885,             0.87177,            0.020058,           0.0053795,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016636,           0.0074833,                   0,             0.99016,             0.96774,             0.98825,             0.87142,            0.021422,           0.0052152,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.016089,           0.0076034,                   0,             0.99345,             0.96774,             0.98825,             0.87074,            0.018358,           0.0050916,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016572,           0.0074459,                   0,             0.99318,             0.96774,             0.98768,             0.88986,            0.017599,           0.0051899,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015768,           0.0073701,                   0,             0.99301,             0.96774,             0.98663,             0.88005,            0.017344,           0.0052084,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015853,           0.0078658,                   0,              0.9946,             0.96774,             0.98825,             0.88114,            0.018027,           0.0051373,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014669,           0.0063834,                   0,             0.99534,             0.96774,             0.98885,             0.88743,            0.016878,           0.0051257,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01489,           0.0066466,                   0,             0.99537,             0.96774,             0.98947,             0.88261,             0.01902,           0.0051528,                   0,            0.000496,            0.000496,            0.000496
